ticket_id,application,issue_type,priority,environment,component,summary,created_date,resolved_date,status,technology,version,region,issue_description,root_cause,solution,tags,service,dependency,estimated_resolution_time,business_impact,key_metric,root_cause_category
JIRA-1201,Enterprise J2EE Application,Bug,P2,Staging,Servlet Container,HTTP requests intermittently return 503 during traffic bursts,2026-09-04,2026-09-04,Closed,Java EE/Servlet Container,9.0,Global,HTTP requests intermittently return 503 during traffic bursts. Operational logs and application-server diagnostics confirmed the behavior.,The servlet executor reached its configured concurrency ceiling and queued requests exceeded the container timeout.,"Tune executor capacity using load-test data, configure bounded queues, and alert on thread saturation.",servlet;threads;503;capacity,web-tier,WebSphere,3 hr,Medium,Thread utilization,thread-pool saturation
JIRA-1202,Enterprise J2EE Application,Bug,P3,QA,EJB Timer,A scheduled reconciliation task starts several minutes late,2026-09-04,2026-09-04,Resolved,Java EE/EJB Timer,14,US,A scheduled reconciliation task starts several minutes late. The issue was reproduced under representative workload and isolated to the application-server integration layer.,The timer scheduler was configured with an incorrect misfire threshold after a server restart.,"Set an appropriate misfire policy, persist scheduler state, and monitor trigger delay.",ejb-timer;misfire;scheduler,scheduler-ejb,WebLogic,2 hr,Low,Trigger delay,misfire configuration
JIRA-1203,Enterprise J2EE Application,Bug,P2,Development,JPA/Hibernate,Concurrent updates produce optimistic locking failures for valid users,2026-09-04,2026-09-04,Resolved,Java EE/JPA/Hibernate,19c,CA,Concurrent updates produce optimistic locking failures for valid users. Operational logs and application-server diagnostics confirmed the behavior.,Two transactions update the same entity version concurrently without an application conflict strategy.,"Catch OptimisticLockException, reload the entity, and apply a bounded retry or user-visible conflict response.",jpa;hibernate;locking;concurrency,persistence,Oracle,4 hr,Medium,Optimistic lock rate,concurrent update
JIRA-1204,Enterprise J2EE Application,Incident,P1,Production,JMS,Message processing stops after the broker reports temporary unavailability,2026-09-04,2026-09-04,Closed,Java EE/JMS,9.3,EU,Message processing stops after the broker reports temporary unavailability. The issue was reproduced under representative workload and isolated to the application-server integration layer.,The JMS connection recovery policy does not recreate consumers after broker reconnection.,"Enable managed reconnection, recreate consumers safely, and monitor consumer registration state.",jms;reconnect;broker;recovery,messaging,IBM MQ,2 hr,High,Active consumer count,consumer recovery
JIRA-1205,Enterprise J2EE Application,Bug,P2,Staging,JNDI,Application starts but an integration lookup fails only in staging,2026-09-04,2026-09-04,Resolved,Java EE/JNDI,9.0,APAC,Application starts but an integration lookup fails only in staging. Operational logs and application-server diagnostics confirmed the behavior.,The staging JNDI binding uses a different resource name from the application deployment descriptor.,"Align JNDI names, externalize environment bindings, and validate mandatory resources during startup.",jndi;staging;configuration;integration,integration-ejb,WebSphere,2 hr,Medium,Lookup failure rate,resource binding mismatch
JIRA-1206,Enterprise J2EE Application,Incident,P1,Production,JTA,Long-running business operation fails at commit time,2026-09-04,2026-09-04,Resolved,Java EE/JTA,14,Global,Long-running business operation fails at commit time. The issue was reproduced under representative workload and isolated to the application-server integration layer.,The transaction exceeded the application server transaction timeout while waiting on a downstream operation.,"Remove remote calls from the transaction, split the workflow into smaller transactions, and tune timeouts from measured workload.",jta;timeout;transactions;latency,core-ejb,WebLogic,5 hr,High,Transaction duration,transaction timeout
JIRA-1207,Enterprise J2EE Application,Bug,P3,Development,JAX-RS,REST endpoint returns 500 instead of a documented validation error,2026-09-04,2026-09-04,Closed,Java EE/JAX-RS,27,US,REST endpoint returns 500 instead of a documented validation error. Operational logs and application-server diagnostics confirmed the behavior.,A Bean Validation exception is not mapped by the shared JAX-RS exception mapper.,Add a validation exception mapper returning the standard 400 response and contract-test invalid requests.,jax-rs;validation;rest;errors,api-tier,WildFly,2 hr,Low,HTTP 500 validation rate,missing exception mapping
JIRA-1208,Enterprise J2EE Application,Bug,P3,Production,JAX-WS,SOAP integration fails when partner response contains a new optional element,2026-09-04,2026-09-04,Resolved,Java EE/JAX-WS,14,CA,SOAP integration fails when partner response contains a new optional element. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Generated JAXB classes were created from an older partner WSDL and reject the newer schema shape.,"Regenerate bindings from the supported WSDL, validate compatibility, and retain representative partner payload tests.",jax-ws;soap;jaxb;schema,integration-ejb,WebLogic,4 hr,Medium,SOAP error rate,stale schema binding
JIRA-1209,Enterprise J2EE Application,Bug,P1,Production,JDBC Pool,Application becomes slow while database CPU is normal,2026-09-04,2026-09-04,Resolved,Java EE/JDBC Pool,19c,EU,Application becomes slow while database CPU is normal. Operational logs and application-server diagnostics confirmed the behavior.,Most requests are waiting for JDBC connections because pool size is below measured concurrent demand.,"Right-size the pool, configure acquisition timeouts, and monitor active, idle, and waiting connections.",jdbc;pool;database;latency,persistence,Oracle,3 hr,High,Connection wait time,undersized JDBC pool
JIRA-1210,Enterprise J2EE Application,Incident,P1,Production,JVM,Application node repeatedly restarts after sustained traffic,2026-09-04,2026-09-04,Closed,Java EE/JVM,17,APAC,Application node repeatedly restarts after sustained traffic. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Heap occupancy remains high because a request-scoped object graph is retained by a static collection.,"Remove the static retention path, verify object lifecycle, and use heap analysis in regression testing.",jvm;heap;oom;memory,platform,JDK 17,6 hr,High,Old-gen occupancy,object retention
JIRA-1211,Enterprise J2EE Application,Bug,P3,Development,JSP,One administrative page renders stale configuration text,2026-09-04,2026-09-04,Resolved,Java EE/JSP,9.0,Global,One administrative page renders stale configuration text. Operational logs and application-server diagnostics confirmed the behavior.,The JSP generated artifact was not invalidated on one cluster member after deployment.,Clear generated JSP artifacts during rollout and make deployment behavior identical across nodes.,jsp;cache;cluster;deployment,web-tier,WebSphere,2 hr,Low,Stale page rate,generated JSP cache
JIRA-1212,Enterprise J2EE Application,Bug,P2,Production,CDI,Application startup fails with an ambiguous dependency error,2026-09-04,2026-09-04,Resolved,Java EE/CDI,27,US,Application startup fails with an ambiguous dependency error. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Two CDI beans expose the same interface without a qualifier and the injection point is ambiguous.,"Add explicit qualifiers, remove unused implementations, and add deployment-time CDI validation.",cdi;injection;startup;qualifier,web-tier,WildFly,3 hr,Medium,Startup failure rate,ambiguous injection
JIRA-1213,Enterprise J2EE Application,Bug,P1,Production,Servlet Security,Protected endpoint is accessible without the expected role,2026-09-04,2026-09-04,Closed,Java EE/Servlet Security,14,CA,Protected endpoint is accessible without the expected role. Operational logs and application-server diagnostics confirmed the behavior.,A URL pattern in web.xml does not match the deployed context path and bypasses the intended constraint.,Correct security-constraint URL mappings and add automated authorization tests for every protected endpoint.,security;servlet;web.xml;authorization,web-tier,WebLogic,4 hr,High,Unauthorized request count,security constraint mismatch
JIRA-1214,Enterprise J2EE Application,Bug,P3,QA,Quartz,Scheduled report runs twice after application failover,2026-09-04,2026-09-04,Resolved,Java EE/Quartz,16,EU,Scheduled report runs twice after application failover. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Both cluster nodes believe they own the scheduler because clustered job-store configuration is incomplete.,"Use a shared clustered job store, enable scheduler clustering, and verify single execution during failover tests.",quartz;cluster;scheduler;failover,scheduler-ejb,PostgreSQL,4 hr,Medium,Duplicate job executions,scheduler clustering
JIRA-1215,Enterprise J2EE Application,Bug,P2,Development,Cache,Users see outdated account settings for several minutes,2026-09-04,2026-09-04,Resolved,Java EE/Cache,7.2,APAC,Users see outdated account settings for several minutes. Operational logs and application-server diagnostics confirmed the behavior.,Application cache TTL is longer than the business requirement and update operations do not evict affected keys.,Invalidate keys on successful updates and reduce TTL to the agreed consistency window.,cache;stale-data;redis;consistency,customer-ejb,Redis,3 hr,Medium,Stale-read duration,missing invalidation
JIRA-1216,Enterprise J2EE Application,Bug,P2,Production,REST Client,Partner API calls fail after periods of inactivity,2026-09-04,2026-09-04,Closed,Java EE/REST Client,v2,Global,Partner API calls fail after periods of inactivity. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Pooled HTTP connections remain idle beyond the partner load balancer timeout and are reused after closure.,Evict idle connections before the partner timeout and configure connection validation.,http-client;idle;connection;integration,integration-ejb,Partner API,3 hr,Medium,Outbound reset rate,stale HTTP connection
JIRA-1217,Enterprise J2EE Application,Task,P4,Staging,Deployment,Cluster deployment can leave nodes on different application versions,2026-09-04,2026-09-04,Resolved,Java EE/Deployment,3.9,US,Cluster deployment can leave nodes on different application versions. Operational logs and application-server diagnostics confirmed the behavior.,Deployment verification checks node health but not deployed artifact identity.,Record application build version and checksum on each node and fail rollout if versions differ.,deployment;checksum;version;cluster,deployment-pipeline,Maven,5 hr,Low,Version consistency,missing artifact validation
JIRA-1218,Enterprise J2EE Application,Improvement,P4,QA,Logging,Operational logs cannot correlate a user request across EJB and JMS processing,2026-09-04,2026-09-04,Resolved,Java EE/Logging,9.3,CA,Operational logs cannot correlate a user request across EJB and JMS processing. The issue was reproduced under representative workload and isolated to the application-server integration layer.,Correlation ID exists at the HTTP layer but is not copied into asynchronous message metadata.,Propagate a non-sensitive correlation ID in JMS message properties and include it in MDC logging context.,logging;correlation;jms;mdc,observability,IBM MQ,5 hr,Low,Trace completeness,context propagation gap
JIRA-1219,Enterprise J2EE Application,Bug,P2,Development,Batch,Large nightly import stops after processing part of the file,2026-09-04,2026-09-04,Closed,Java EE/Batch,19c,EU,Large nightly import stops after processing part of the file. Operational logs and application-server diagnostics confirmed the behavior.,The batch job keeps the entire file and all managed JPA entities in memory until completion.,"Process chunks, flush and clear the persistence context, and persist checkpoints for restart.",batch;jpa;heap;checkpoint,batch-ejb,Oracle,5 hr,High,Batch completion rate,unbounded batch state
JIRA-1220,Enterprise J2EE Application,Improvement,P4,Production,Security,Certificate expiration is discovered only when an integration fails,2026-09-04,2026-09-04,Resolved,Java EE/Security,17,APAC,Certificate expiration is discovered only when an integration fails. The issue was reproduced under representative workload and isolated to the application-server integration layer.,JVM truststore certificates are not inventoried by the monitoring platform.,Export certificate expiry metadata and alert before configurable warning thresholds.,tls;truststore;certificate;monitoring,platform,JDK 17,4 hr,Low,Certificate warning lead time,missing certificate monitoring
