ticket_id,application,issue_type,priority,environment,component,summary,created_date,resolved_date,status,technology,version,region,issue_description,root_cause,solution,tags,service,dependency,estimated_resolution_time,business_impact,key_metric,root_cause_category
JIRA-1001,Checkout Service,Bug,P1,Production,Payments,Checkout returns HTTP 500 for valid card payments,2026-08-01,2026-08-01,Closed,Java/Spring Boot,5.18.0,EU,Payment gateway client timeout configuration was reduced below gateway response latency.,"Increase gateway client timeout to 30s, add bounded retries with exponential backoff, and monitor gateway latency.",gateway_timeout;payments;5xx,checkout,payment-gateway,30 min,High,Card payment success rate,gateway timeout
JIRA-1002,Authentication API,Incident,P1,Production,Identity,Users cannot log in after identity provider certificate rotation,2026-08-02,2026-08-02,Closed,Python/FastAPI,3.12,Global,The IdP signing certificate changed but the application trust store was not updated.,"Update the trusted certificate bundle, automate certificate expiry monitoring, and validate certificates in deployment checks.",certificate;identity;login,auth,identity-provider,45 min,High,Login success rate,certificate mismatch
JIRA-1003,Order Service,Bug,P1,Production,Orders,Duplicate orders created when customers retry after a slow response,2026-08-03,2026-08-03,Resolved,Java/Spring Boot,6.2.1,US,Order creation endpoint was not idempotent and processed repeated client requests independently.,Implement idempotency keys with database uniqueness enforcement and return the existing order for duplicate requests.,duplicate;idempotency;orders,orders,database,2 hr,High,Duplicate order count,missing idempotency
JIRA-1004,Inventory Service,Incident,P1,Production,Inventory,Inventory quantities became negative during flash sale,2026-08-04,2026-08-04,Closed,Go,1.23,US,Concurrent stock deductions used read-modify-write logic without atomic database protection.,"Use atomic conditional updates, transaction boundaries, and concurrency tests for inventory reservation.",inventory;concurrency;overselling,inventory,postgresql,1.5 hr,High,Negative inventory count,race condition
JIRA-1005,Notification Service,Incident,P1,Production,Notifications,Critical order notifications delayed by more than 20 minutes,2026-08-05,2026-08-05,Closed,Node.js,22,Global,The notification queue consumer was stalled because a poison message repeatedly failed processing.,"Move failed messages to a dead-letter queue, cap retries, and alert on consumer lag.",queue;notifications;dead-letter,notifications,kafka,1 hr,High,Consumer lag,poison message
JIRA-1006,Search Service,Bug,P1,Production,Search,Product search unavailable after search cluster restart,2026-08-06,2026-08-06,Resolved,Python,3.12,US,Application startup did not retry search cluster connection after the cluster became temporarily unavailable.,"Add connection retry with backoff, readiness checks, and startup dependency health monitoring.",search;elasticsearch;startup,search,elasticsearch,1 hr,High,Search availability,connection retry missing
JIRA-1007,API Gateway,Incident,P1,Production,Platform,API gateway CPU reached 100% and caused widespread request failures,2026-08-07,2026-08-07,Closed,Nginx,1.27,Global,A malformed traffic pattern bypassed rate limiting on one endpoint and exhausted worker capacity.,"Correct rate-limit rules, add per-route quotas, and deploy traffic anomaly alerts.",gateway;cpu;rate-limit,platform,nginx,2 hr,High,Gateway CPU,rate limiting gap
JIRA-1008,Database,Incident,P1,Production,Database,Primary database became unavailable during peak traffic,2026-08-08,2026-08-08,Closed,PostgreSQL,16,US,"Connection pool limits were too high for the database instance, causing resource exhaustion.","Right-size connection pools, use a pooler, and add database saturation alerts.",postgresql;connections;availability,database,postgresql,2.5 hr,High,DB connection utilization,pool exhaustion
JIRA-1009,Payment Service,Bug,P1,Production,Payments,Successful payment captured but order remained unpaid,2026-08-09,2026-08-09,Resolved,Java/Spring Boot,3.4,Global,Payment webhook processing failed because an unexpected gateway event type was not handled.,"Implement tolerant webhook parsing, persist raw events, and replay failed events safely.",webhook;payments;reconciliation,payments,stripe-like gateway,3 hr,High,Payment/order reconciliation,unhandled event
JIRA-1010,Customer Profile,Incident,P1,Production,Customer,Profile updates intermittently returned stale data,2026-08-10,2026-08-10,Closed,Java/Spring Boot,3.3,Global,Read replicas lagged behind writes and the application immediately read from a replica after an update.,Route read-after-write requests to primary for a short consistency window and monitor replica lag.,replica;stale-data;consistency,customer,postgresql,1 hr,High,Replica lag,eventual consistency
