ticket_id,summary,component,environment,priority,status,assignee,created_date,resolved_date,symptom_category,error_code,impacted_service,issue_description,root_cause,solution,resolution_notes
APP-1001,[Billing & Payments] Duplicate charges observed for 14 users during peak checkout...,Billing & Payments,Production,P3,In Progress,sre_charlie,2026-01-30 00:00:00,,Billing & Payments,ERR-401,microservice-billing-payments,Duplicate charges observed for 14 users during peak checkout window.,Database deadlocks in transaction table due to concurrent API retry attempts without idempotency keys.,Implemented idempotency header enforcement and optimized database isolation level from Serializable to Read Committed.,Root cause identified and resolved via standard protocol. Verified in Production.
APP-1002,[Billing & Payments] Credit card processing failing with 'Gateway Timeout' status...,Billing & Payments,Production,P4,In Progress,sec_danielle,2026-01-17 00:00:00,,Billing & Payments,ERR-500,microservice-billing-payments,Credit card processing failing with 'Gateway Timeout' status code.,Stripe webhook listener crashing on malformed JSON payload from recurring subscription events.,Added robust JSON schema validation and error-handling try-catch blocks in billing webhook handler.,Root cause identified and resolved via standard protocol. Verified in Production.
APP-1003,[API Gateway] API Gateway returning 502 Bad Gateway intermittently under h...,API Gateway,Staging,P3,In Progress,qa_eve,2026-02-20 00:00:00,,API Gateway,ERR-401,microservice-api-gateway,API Gateway returning 502 Bad Gateway intermittently under high load.,Upstream worker pods exhausting file descriptors due to unclosed socket connections in gRPC client.,Fixed connection pooling in gRPC client and increased OS file descriptor limit (nofile) in Kubernetes deployment manifest.,Root cause identified and resolved via standard protocol. Verified in Staging.
APP-1004,[Search & Filtering] Search autocomplete returning stale results after new produc...,Search & Filtering,Staging,P3,Closed,qa_eve,2026-01-16 00:00:00,2026-01-16 22:00:00,Search & Filtering,NONE,microservice-search-filtering,Search autocomplete returning stale results after new product catalog ingestion.,Search index cache invalidation hook failing to trigger after nightly bulk import.,Added explicit cache flush command to the end of the nightly catalog synchronization cron job script.,Root cause identified and resolved via standard protocol. Verified in Staging.
APP-1005,[Search & Filtering] Elasticsearch cluster yellow health status due to unassigned...,Search & Filtering,UAT,P2,Closed,backend_bob,2026-02-06 00:00:00,2026-02-06 15:00:00,Search & Filtering,ERR-500,microservice-search-filtering,Elasticsearch cluster yellow health status due to unassigned replica shards.,"Node disk watermarks exceeded (95% full), preventing shard allocation.",Scaled up EBS storage volume on Elasticsearch nodes and purged outdated log indices older than 30 days.,Root cause identified and resolved via standard protocol. Verified in UAT.
APP-1006,[Search & Filtering] Search autocomplete returning stale results after new produc...,Search & Filtering,Production,P2,Closed,sre_charlie,2026-01-18 00:00:00,2026-01-20 12:00:00,Search & Filtering,ERR-413,microservice-search-filtering,Search autocomplete returning stale results after new product catalog ingestion.,Search index cache invalidation hook failing to trigger after nightly bulk import.,Added explicit cache flush command to the end of the nightly catalog synchronization cron job script.,Root cause identified and resolved via standard protocol. Verified in Production.
APP-1007,[Billing & Payments] Invoice PDF generation failing to render currency symbols co...,Billing & Payments,Development,P1,Resolved,qa_eve,2026-02-24 00:00:00,2026-02-26 00:00:00,Billing & Payments,ERR-413,microservice-billing-payments,Invoice PDF generation failing to render currency symbols correctly.,Missing TrueType fonts (DejaVuSans) in the containerized microservice base image.,Updated Dockerfile to include core-fonts package and rebuilt container image.,Root cause identified and resolved via standard protocol. Verified in Development.
APP-1008,[API Gateway] Rate limiting rules bypassing for whitelisted corporate IPs....,API Gateway,Production,P4,Resolved,frontend_frank,2026-02-03 00:00:00,2026-02-03 12:00:00,API Gateway,ERR-401,microservice-api-gateway,Rate limiting rules bypassing for whitelisted corporate IPs.,CIDR mask evaluation error in Envoy proxy Lua rate-limiting filter script.,Corrected bitwise CIDR matching logic in Lua filter and added unit tests for IP whitelist validation.,Root cause identified and resolved via standard protocol. Verified in Production.
APP-1009,[Billing & Payments] Invoice PDF generation failing to render currency symbols co...,Billing & Payments,Development,P3,Closed,sec_danielle,2026-01-26 00:00:00,2026-01-28 01:00:00,Billing & Payments,ERR-TIMEOUT,microservice-billing-payments,Invoice PDF generation failing to render currency symbols correctly.,Missing TrueType fonts (DejaVuSans) in the containerized microservice base image.,Updated Dockerfile to include core-fonts package and rebuilt container image.,Root cause identified and resolved via standard protocol. Verified in Development.
APP-1010,[API Gateway] API Gateway returning 502 Bad Gateway intermittently under h...,API Gateway,UAT,P3,In Progress,frontend_frank,2026-02-23 00:00:00,,API Gateway,NONE,microservice-api-gateway,API Gateway returning 502 Bad Gateway intermittently under high load.,Upstream worker pods exhausting file descriptors due to unclosed socket connections in gRPC client.,Fixed connection pooling in gRPC client and increased OS file descriptor limit (nofile) in Kubernetes deployment manifest.,Root cause identified and resolved via standard protocol. Verified in UAT.
